Product	Gene
12S ribosomal RNA	srRNA
16S ribosomal RNA	lrRNA
ATP synthase F0 subunit 6	ATP6
ATP synthase F0 subunit 8	ATP8
ATPase subunit 6	ATP6
ATPase subunit 8	ATP8
NADH dehydrogenase subunit 1	ND1
NADH dehydrogenase subunit 2	ND2
NADH dehydrogenase subunit 3	ND3
NADH dehydrogenase subunit 4	ND4
NADH dehydrogenase subunit 4L	ND4L
NADH dehydrogenase subunit 5	ND5
NADH dehydrogenase subunit 6	ND6
cytochrome b	CYTB
cytochrome c oxidase subunit I	COX1
cytochrome c oxidase subunit II	COX2
cytochrome c oxidase subunit III	COX3
cytochrome oxidase subunit 1	COX1
cytochrome oxidase subunit 2	COX2
cytochrome oxidase subunit 3	COX3
cytochrome oxidase subunit I	COX1
cytochrome oxidase subunit II	COX2
cytochrome oxidase subunit III	COX3
l-rRNA	lrRNA
large subunit ribosomal RNA	lrRNA
s-rRNA	srRNA
small subunit ribosomal RNA	srRNA
tRNA-Ala	trnA
tRNA-Arg	trnR
tRNA-Asn	trnN
tRNA-Asp	trnD
tRNA-Cys	trnC
tRNA-Gln	trnQ
tRNA-Glu	trnE
tRNA-Gly	trnG
tRNA-His	trnH
tRNA-Ile	trnI
tRNA-Leu	trnL
tRNA-Lys	trnK
tRNA-Met	trnM
tRNA-Phe	trnF
tRNA-Pro	trnP
tRNA-Ser	trnS
tRNA-Thr	trnT
tRNA-Trp	trnW
tRNA-Tyr	trnY
tRNA-Val	trnV
