NCBI Accession,Genome Name
NC_083190.1,"Sclerasterias satsumana mitochondrion, complete genome"
NC_063126.1,"Cadlina umiushi mitochondrion, complete genome"
NC_057214.1,"Haemagogus tropicalis mitochondrion, complete genome"
NC_057213.1,"Haemagogus spegazzinii mitochondrion, complete genome"
NC_057212.1,"Haemagogus leucocelaenus mitochondrion, complete genome"
NC_057211.1,"Haemagogus albomaculatus mitochondrion, complete genome"
NC_037500.1,"Sabethes glaucodaemon mitochondrion, complete genome"
NC_037499.1,"Sabethes chloropterus mitochondrion, complete genome"
NC_037498.1,"Sabethes belisarioi mitochondrion, complete genome"
NC_061966.1,"Chironomus nipponensis mitochondrion, complete genome"
NC_061965.1,"Glyptotendipes tokunagai mitochondrion, complete genome"
NC_088773.1,"Loimia medusa mitochondrion, complete genome"
NC_088769.1,"Saropogon luteus mitochondrion, complete genome"
NC_088764.1,"Polyura eudamippus mitochondrion, complete genome"
NC_088763.1,"Yangiella montana mitochondrion, complete genome"
NC_088758.1,"Taiwanaptera montana mitochondrion, complete genome"
NC_088753.1,"Liobagrus geumgangensis mitochondrion, complete genome"
NC_088746.1,"Sphingonotus coerulipes mitochondrion, complete genome"
NC_088745.1,"Calliptamus coelesyriensis mitochondrion, complete genome"
NC_088744.1,"Pyrgodera armata mitochondrion, complete genome"
NC_088743.1,"Dericorys tibialis mitochondrion, complete genome"
NC_088742.1,"Loxocephala sichuanensis mitochondrion, complete genome"
NC_088582.1,"Plagiogeneion rubiginosum voucher NZ P.045174 mitochondrion, complete genome"
NC_088581.1,"Plagiogeneion macrolepis voucher CSIRO H8671-01 mitochondrion, complete genome"
NC_088580.1,"Erythrocles scintillans voucher OCF-P 3558 mitochondrion, complete genome"
NC_088579.1,"Erythrocles schlegelii voucher NSMT P.105302 mitochondrion, complete genome"
NC_088578.1,"Erythrocles microceps voucher NSMT P.102428 mitochondrion, complete genome"
NC_088577.1,"Emmelichthys nitidus voucher CSIRO H4244-01 mitochondrion, complete genome"
NC_088576.1,"Emmelichthys papillatus voucher PNM 15806 mitochondrion, complete genome"
