	Animal_species_dataset
Sclerasterias_satsumana	NC_083190.1
Equus_caballus	NC_091244.1
Cadlina_umiushi	NC_063126.1
Haemagogus_tropicalis	NC_057214.1
Haemagogus_spegazzinii	NC_057213.1
Haemagogus_leucocelaenus	NC_057212.1
Haemagogus_albomaculatus	NC_057211.1
Sabethes_glaucodaemon	NC_037500.1
Sabethes_chloropterus	NC_037499.1
Sabethes_belisarioi	NC_037498.1
Chironomus_nipponensis	NC_061966.1
Glyptotendipes_tokunagai	NC_061965.1
Loimia_medusa	NC_088773.1
Saropogon_luteus	NC_088769.1
Polyura_eudamippus	NC_088764.1
Yangiella_montana	NC_088763.1
Taiwanaptera_montana	NC_088758.1
Liobagrus_geumgangensis	NC_088753.1
Sphingonotus_coerulipes	NC_088746.1
Calliptamus_coelesyriensis	NC_088745.1
Pyrgodera_armata	NC_088744.1
Dericorys_tibialis	NC_088743.1
Loxocephala_sichuanensis	NC_088742.1
Plagiogeneion_rubiginosum	NC_088582.1
Plagiogeneion_macrolepis	NC_088581.1
Erythrocles_scintillans	NC_088580.1
Erythrocles_schlegelii	NC_088579.1
Erythrocles_microceps	NC_088578.1
Emmelichthys_nitidus	NC_088577.1
Emmelichthys_papillatus	NC_088576.1
Emmelichthys_karnellai	NC_088575.1
Protocobitis_typhlops	NC_088570.1
Mergus_octosetaceus	NC_088569.1
Mergus_australis	NC_088568.1
Crocidura_anhuiensis	NC_088563.1
Argulus_japonicus	NC_088557.1
Pygathrix_cinerea	NC_088556.1
Synanthedon_bicingulata	NC_088554.1
Macromia_hamata	NC_088552.1
Allonothrus_sinicus	NC_088551.1
Millerichthys_robustus	NC_088550.1
Paraclius_curvispinus	NC_088549.1
Proedromys_bedfordi	NC_088546.1
Lepus_mandshuricus	NC_088544.1
Pipistrellus_pipistrellus	NC_088543.1
Jasus_edwardsii	NC_088542.1
Hipposideros_caffer	NC_088535.1
Libellula_melli	NC_088532.1
Sphingonotus_turcmenus	NC_088529.1
Phlaeoba_angustidorsis	NC_088528.1
Acrida_oxycephala	NC_088527.1
Corynorhinus_mexicanus	NC_088525.1
Cichlidogyrus_halli	NC_088522.1
Ferrissia_californica	NC_088521.1
Triplophysa_erythraea	NC_088519.1
Vanessula_milca	NC_088518.1
Maniola_hyperantus	NC_088517.1
Sancassania_mycophaga	NC_088516.1
Parasipyloidea_carinata	NC_088515.1
Ceratozetella_imperatoria	NC_088508.1
Tuerkayana_celeste	NC_088507.1
Tuerkayana_hirtipes	NC_088506.1
Tuerkayana_rotundum	NC_088505.1
Tuerkayana_magnum	NC_088504.1
Glyptothorax_quadriocellatus	NC_088503.1
Amblyomma_triste	NC_088502.1
Macrhybopsis_marconis	NC_088500.1
Macrhybopsis_aestivalis	NC_088499.1
Porphyrio_mantelli	NC_088495.1
Sinobirma_bouyeri	NC_088494.1
Nephelomys_childi	NC_088493.1
Akodon_affinis	NC_088492.1
Parechinus_angulosus	NC_088491.1
Zoarces_viviparus	NC_088490.1
Haliotis_fulgens	NC_088488.1
Anopheles_gibbinsi	NC_088482.1
Glauconome_virens	NC_088460.1
Tringa_melanoleuca	NC_088456.1
Tringa_incana	NC_088455.1
Tringa_brevipes	NC_088454.1
Somateria_spectabilis	NC_088453.1
Picoides_tridactylus	NC_088452.1
Numenius_hudsonicus	NC_088451.1
Melanitta_americana	NC_088450.1
Mareca_americana	NC_088449.1
Histrionicus_histrionicus	NC_088448.1
