	Homo_sapiens	Caenorhabditis_elegans	Drosophila_melanogaster	Xenopus_tropicalis	Danio_rerio	Mus_musculus	Didelphis_virginiana	Struthio_camelus	Rhea_americana	Pelomedusa_subrufa	Alligator_mississippiensis	Dinodon_semicarinatus	Vidua_chalybeata	Falco_peregrinus	Smithornis_sharpei	Branchiostoma_lanceolatum	Branchiostoma_floridae	Aythya_americana	Gallus_gallus	Ornithorhynchus_anatinus	Balanoglossus_carnosus	Sphenodon_punctatus	Crocodylus_porosus	Python_bivittatus	Boa_constrictor	Gloydius_blomhoffii	Lithobates_catesbeianus	Fejervarya_limnocharis	Bipes_biporus	Cucumaria_miniata	Parastichopus_californicus	Artemia_franciscana	Daphnia_pulex	Apis_mellifera	Florometra_serratissima	Strongylocentrotus_purpuratus	Pisaster_ochraceus	Asterias_amurensis	Ophiopholis_aculeata	Rhipicephalus_sanguineus	Speleonectes_tulumensis	Homarus_americanus	Anopheles_gambiae	Aedes_albopictus	Locusta_migratoria	Katharina_tunicata	Mytilus_edulis	Loligo_bleekeri	Cepaea_nemoralis	Albinaria_coerulea	Lumbricus_terrestris	Platynereis_dumerilii	Urechis_caupo	Ascaris_suum	Onchocerca_volvulus	Meloidogyne_javanica	Fasciola_hepatica	Romanomermis_culicivorax
Homo_sapiens	0	36	36	24	24	24	24	26	26	24	25	26	26	26	26	37	29	26	26	24	27	29	25	37	25	26	27	30	27	37	37	36	36	35	35	33	31	28	37	36	38	37	36	36	36	37	35	35	37	37	37	37	37	36	37	35	36	47
Caenorhabditis_elegans	36	0	36	18	36	36	18	18	18	18	19	18	18	18	18	19	17	18	18	18	19	18	19	13	18	18	16	17	19	18	19	17	16	18	18	18	34	19	18	20	19	19	16	16	16	19	17	16	12	17	17	17	17	0	18	19	15	21
Drosophila_melanogaster	36	36	0	36	28	36	36	36	36	36	36	37	36	36	36	37	37	36	36	36	37	33	36	37	36	37	37	38	36	33	37	25	24	27	37	37	35	34	37	32	29	32	24	24	24	37	37	36	37	37	36	36	37	36	35	36	37	44
Xenopus_tropicalis	24	18	36	0	24	24	0	3	3	0	2	2	3	3	3	21	7	3	3	0	5	10	2	13	1	3	6	9	3	20	22	19	19	16	17	15	29	11	21	17	19	19	19	19	19	22	16	17	13	19	20	19	16	18	17	15	18	23
Danio_rerio	24	36	28	24	0	24	24	26	26	24	25	26	26	26	26	37	29	26	26	24	27	29	25	37	25	26	27	30	27	37	37	36	36	35	35	33	31	28	37	36	38	37	36	36	36	37	35	35	37	37	37	37	37	36	37	35	36	47
Mus_musculus	24	36	36	24	24	0	24	26	26	24	25	26	26	26	26	37	29	26	26	24	27	29	25	37	25	26	27	30	27	37	37	36	36	35	35	33	31	28	37	36	38	37	36	36	36	37	35	35	37	37	37	37	37	36	37	35	36	47
Didelphis_virginiana	24	18	36	0	24	24	0	3	3	0	2	2	3	3	3	21	7	3	3	0	5	10	2	13	1	3	6	9	3	20	22	19	19	16	17	15	29	11	21	17	19	19	19	19	19	22	16	17	13	19	20	19	16	18	17	15	18	23
Struthio_camelus	26	18	36	3	26	26	3	0	0	3	4	5	0	0	0	21	6	0	0	3	3	10	4	13	4	5	8	11	3	20	22	19	19	15	17	16	29	12	21	17	19	19	19	19	19	22	17	17	13	18	20	19	16	18	17	15	19	23
Rhea_americana	26	18	36	3	26	26	3	0	0	3	4	5	0	0	0	21	6	0	0	3	3	10	4	13	4	5	8	11	3	20	22	19	19	15	17	16	29	12	21	17	19	19	19	19	19	22	17	17	13	18	20	19	16	18	17	15	19	23
Pelomedusa_subrufa	24	18	36	0	24	24	0	3	3	0	2	2	3	3	3	21	7	3	3	0	5	10	2	13	1	3	6	9	3	20	22	19	19	16	17	15	29	11	21	17	19	19	19	19	19	22	16	17	13	19	20	19	16	18	17	15	18	23
