Gene	Product	Start	Stop	Strand
TrnF	tRNA-Phe	1	68	+
srRNA	s-rRNA	69	1011	+
TrnV	tRNA-Val	1012	1081	+
lrRNA	l-rRNA	1082	2716	+
TrnL	tRNA-Leu	2717	2791	+
ND1	NADH dehydrogenase subunit 1	2792	3759	+
TrnI	tRNA-Ile	3760	3830	+
TrnQ	tRNA-Gln	3830	3900	-
TrnM	tRNA-Met	3900	3968	+
ND2	NADH dehydrogenase subunit 2	3969	5004	+
TrnW	tRNA-Trp	5005	5073	+
TrnA	tRNA-Ala	5077	5145	-
TrnN	tRNA-Asn	5147	5219	-
TrnC	tRNA-Cys	5258	5323	-
TrnY	tRNA-Tyr	5324	5393	-
COX1	cytochrome c oxidase subunit I	5395	6951	+
TrnS	tRNA-Ser	6954	7024	-
TrnD	tRNA-Asp	7040	7108	+
COX2	cytochrome c oxidase subunit II	7111	7798	+
TrnK	tRNA-Lys	7799	7872	+
ATP8	ATP synthase F0 subunit 8	7874	8041	+
ATP6	ATP synthase F0 subunit 6	8032	8714	+
COX3	cytochrome c oxidase subunit III	8715	9498	+
TrnG	tRNA-Gly	9499	9568	+
ND3	NADH dehydrogenase subunit 3	9569	9911	+
TrnR	tRNA-Arg	9912	9980	+
ND4L	NADH dehydrogenase subunit 4L	9981	10277	+
ND4	NADH dehydrogenase subunit 4	10271	11648	+
TrnH	tRNA-His	11649	11717	+
TrnS	tRNA-Ser	11718	11785	+
TrnL	tRNA-Leu	11786	11858	+
ND5	NADH dehydrogenase subunit 5	11859	13676	+
ND6	NADH dehydrogenase subunit 6	13668	14186	-
TrnE	tRNA-Glu	14187	14255	-
CYTB	cytochrome b	14258	15399	+
TrnT	tRNA-Thr	15400	15470	+
TrnP	tRNA-Pro	15500	15566	+
