Gene	Product	Start	Stop	Strand
COX1	cytochrome c oxidase subunit I	1	1548	+
TrnS	tRNA-Ser	1546	1616	-
TrnD	tRNA-Asp	1625	1689	+
COX2	cytochrome c oxidase subunit II	1690	2380	+
TrnK	tRNA-Lys	2381	2446	+
ATP8	ATP synthase F0 subunit 8	2447	2611	+
ATP6	ATP synthase F0 subunit 6	2605	3287	+
COX3	cytochrome c oxidase subunit III	3288	4076	+
ND3	NADH dehydrogenase subunit 3	4077	4428	+
TrnR	tRNA-Arg	4429	4495	+
ND4L	NADH dehydrogenase subunit 4L	4498	4773	+
ND4	NADH dehydrogenase subunit 4	4773	6130	+
TrnH	tRNA-His	6131	6196	+
TrnS	tRNA-Ser	6197	6262	+
TrnL	tRNA-Leu	6263	6330	+
ND5	NADH dehydrogenase subunit 5	6331	8130	+
TrnG	tRNA-Gly	8260	8327	+
ND6	NADH dehydrogenase subunit 6	8309	8812	-
TrnE	tRNA-Glu	8814	8878	-
CYTB	cytochrome b	8880	10022	+
TrnT	tRNA-Thr	10023	10086	+
TrnP	tRNA-Pro	10087	10152	-
srRNA	12S ribosomal RNA	10153	10998	+
TrnF	tRNA-Phe	10999	11064	+
TrnV	tRNA-Val	11067	11133	+
lrRNA	16S ribosomal RNA	11134	12504	+
TrnL	tRNA-Leu	12505	12575	+
ND1	NADH dehydrogenase subunit 1	12579	13518	+
TrnI	tRNA-Ile	13519	13581	+
TrnM	tRNA-Met	13582	13648	+
TrnQ	tRNA-Gln	13648	13716	-
ND2	NADH dehydrogenase subunit 2	13718	14758	+
TrnN	tRNA-Asn	14751	14820	-
TrnW	tRNA-Trp	14820	14888	+
TrnA	tRNA-Ala	14887	14949	-
TrnC	tRNA-Cys	14950	15007	-
TrnY	tRNA-Tyr	15008	15073	-
