Gene	Product	Start	Stop	Strand
TrnF	tRNA-Phe	1	69	+
srRNA	12S ribosomal RNA	70	1035	+
TrnV	tRNA-Val	1036	1103	+
lrRNA	16S ribosomal RNA	1104	2683	+
TrnL	tRNA-Leu	2684	2757	+
ND1	NADH dehydrogenase subunit 1	2767	3741	+
TrnI	tRNA-Ile	3740	3810	+
TrnQ	tRNA-Gln	3822	3892	-
TrnM	tRNA-Met	3892	3960	+
ND2	NADH dehydrogenase subunit 2	3961	5001	+
TrnW	tRNA-Trp	5000	5073	+
TrnA	tRNA-Ala	5074	5142	-
TrnN	tRNA-Asn	5147	5219	-
TrnC	tRNA-Cys	5221	5287	-
TrnY	tRNA-Tyr	5287	5357	-
COX1	cytochrome c oxidase subunit I	5359	6909	+
TrnS	tRNA-Ser	6901	6974	-
TrnD	tRNA-Asp	6978	7046	+
COX2	cytochrome c oxidase subunit II	7048	7735	+
TrnK	tRNA-Lys	7736	7803	+
ATP8	ATP synthase F0 subunit 8	7805	7972	+
ATP6	ATP synthase F0 subunit 6	7963	8646	+
COX3	cytochrome c oxidase subunit III	8646	9429	+
TrnG	tRNA-Gly	9430	9498	+
ND3	NADH dehydrogenase subunit 3	9499	9850	+
TrnR	tRNA-Arg	9852	9920	+
ND4L	NADH dehydrogenase subunit 4L	9921	10217	+
ND4	NADH dehydrogenase subunit 4	10211	11587	+
TrnH	tRNA-His	11589	11658	+
TrnS	tRNA-Ser	11660	11723	+
TrnL	tRNA-Leu	11724	11794	+
ND5	NADH dehydrogenase subunit 5	11795	13612	+
CYTB	cytochrome b	13622	14761	+
TrnT	tRNA-Thr	14764	14833	+
TrnP	tRNA-Pro	14889	14958	-
ND6	NADH dehydrogenase subunit 6	14969	15490	-
TrnE	tRNA-Glu	15494	15561	-
