Gene	Product	Start	Stop	Strand
TrnF	tRNA-Phe	1	64	+
srRNA	s-rRNA	65	970	+
TrnV	tRNA-Val	971	1033	+
lrRNA	l-rRNA	1034	2510	+
ND1	NADH dehydrogenase subunit 1	2511	3471	+
TrnI	tRNA-Ile	3472	3539	+
TrnP	tRNA-Pro	3540	3602	-
TrnL	tRNA-Leu	4633	4705	+
TrnQ	tRNA-Gln	4706	4774	-
TrnM	tRNA-Met	4775	4836	+
ND2	NADH dehydrogenase subunit 2	4837	5860	+
TrnW	tRNA-Trp	5861	5926	+
TrnA	tRNA-Ala	5927	5991	-
TrnN	tRNA-Asn	5992	6064	-
TrnC	tRNA-Cys	6101	6161	-
TrnY	tRNA-Tyr	6162	6222	-
COX1	cytochrome c oxidase subunit I	6224	7825	+
TrnS	tRNA-Ser	7816	7883	-
TrnD	tRNA-Asp	7884	7946	+
COX2	cytochrome c oxidase subunit II	7947	8631	+
TrnK	tRNA-Lys	8632	8694	+
ATP8	ATP synthase F0 subunit 8	8695	8859	+
ATP6	ATP synthase F0 subunit 6	8850	9530	+
COX3	cytochrome c oxidase subunit III	9530	10313	+
TrnG	tRNA-Gly	10314	10374	+
ND3	NADH dehydrogenase subunit 3	10375	10717	+
TrnR	tRNA-Arg	10718	10781	+
ND4L	NADH dehydrogenase subunit 4L	10782	11072	+
ND4	NADH dehydrogenase subunit 4	11072	12409	+
TrnH	tRNA-His	12411	12472	+
TrnS	tRNA-Ser	12473	12527	+
TrnL	tRNA-Leu	12529	12599	+
ND5	NADH dehydrogenase subunit 5	12601	14388	+
ND6	NADH dehydrogenase subunit 6	14384	14896	-
TrnE	tRNA-Glu	14897	14959	-
CYTB	cytochrome b	14960	16073	+
TrnT	tRNA-Thr	16074	16137	+
