Gene	Product	Start	Stop	Strand
COX1	cytochrome c oxidase subunit I	1	1551	+
TrnR	tRNA-Arg	1551	1616	+
TrnE	tRNA-Glu	2776	2843	+
TrnP	tRNA-Pro	3249	3315	+
TrnN	tRNA-Asn	3335	3404	+
TrnL	tRNA-Leu	3408	3478	+
TrnW	tRNA-Trp	3537	3605	+
TrnV	tRNA-Val	3670	3739	-
ND4L	NADH dehydrogenase subunit 4L	3818	4114	+
COX2	cytochrome c oxidase subunit II	4115	4804	+
TrnK	tRNA-Lys	4806	4869	+
ATP8	ATP synthase F0 subunit 8	4870	5037	+
ATP6	ATP synthase F0 subunit 6	5031	5714	+
COX3	cytochrome c oxidase subunit III	5716	6498	+
TrnS	tRNA-Ser	6500	6570	-
ND3	NADH dehydrogenase subunit 3	6589	6933	+
ND4	NADH dehydrogenase subunit 4	6937	8290	+
TrnH	tRNA-His	8291	8357	+
TrnS	tRNA-Ser	8358	8424	+
ND5	NADH dehydrogenase subunit 5	8425	10248	+
ND6	NADH dehydrogenase subunit 6	10262	10747	-
CYTB	cytochrome b	10756	11896	+
TrnF	tRNA-Phe	11897	11967	+
srRNA	s-rRNA	11968	12848	+
TrnT	tRNA-Thr	12849	12914	+
TrnQ	tRNA-Gln	13367	13436	-
TrnA	tRNA-Ala	13534	13599	-
TrnC	tRNA-Cys	13628	13695	+
TrnM	tRNA-Met	13754	13821	+
TrnD	tRNA-Asp	13835	13902	-
TrnY	tRNA-Tyr	13905	13973	+
TrnG	tRNA-Gly	13973	14041	+
TrnL	tRNA-Leu	14047	14117	+
ND1	NADH dehydrogenase subunit 1	14119	15090	+
TrnI	tRNA-Ile	15106	15175	+
ND2	NADH dehydrogenase subunit 2	15176	16219	+
lrRNA	l-rRNA	16220	17538	+
