Gene	Product	Start	Stop	Strand
TrnF	tRNA-Phe	1	70	+
srRNA	s-rRNA	72	1022	+
TrnV	tRNA-Val	1024	1095	+
lrRNA	l-rRNA	1096	2665	+
TrnL	tRNA-Leu	2666	2739	+
ND1	NADH dehydrogenase subunit 1	2741	3697	+
TrnI	tRNA-Ile	3697	3765	+
TrnQ	tRNA-Gln	3763	3832	-
TrnM	tRNA-Met	3833	3901	+
ND2	NADH dehydrogenase subunit 2	3902	4945	+
TrnA	tRNA-Ala	4943	5011	-
TrnC	tRNA-Cys	5021	5086	-
TrnW	tRNA-Trp	5097	5167	+
TrnN	tRNA-Asn	5254	5325	-
TrnY	tRNA-Tyr	5328	5395	+
COX1	cytochrome c oxidase subunit I	5397	6938	+
TrnS	tRNA-Ser	6940	7008	-
TrnD	tRNA-Asp	7012	7081	+
COX2	cytochrome c oxidase subunit II	7084	7765	+
TrnK	tRNA-Lys	7766	7824	+
ATP8	ATP synthase F0 subunit 8	7827	8036	+
ATP6	ATP synthase F0 subunit 6	7991	8671	+
COX3	cytochrome c oxidase subunit III	8671	9454	+
TrnG	tRNA-Gly	9455	9522	+
ND3	NADH dehydrogenase subunit 3	9520	9868	+
TrnR	tRNA-Arg	9869	9938	+
ND4L	NADH dehydrogenase subunit 4L	9939	10235	+
ND4	NADH dehydrogenase subunit 4	10229	11606	+
TrnH	tRNA-His	11607	11675	+
TrnS	tRNA-Ser	11676	11731	+
TrnL	tRNA-Leu	11733	11803	+
ND5	NADH dehydrogenase subunit 5	11795	13603	+
ND6	NADH dehydrogenase subunit 6	13600	14106	-
TrnE	tRNA-Glu	14107	14175	-
CYTB	cytochrome b	14177	15325	+
TrnT	tRNA-Thr	15334	15401	+
TrnP	tRNA-Pro	15404	15469	-
