Gene	Product	Start	Stop	Strand
TrnF	tRNA-Phe	1	66	+
srRNA	s-rRNA	67	1003	+
TrnV	tRNA-Val	1002	1068	+
lrRNA	l-rRNA	1069	2579	+
ND1	NADH dehydrogenase subunit 1	2589	3555	+
TrnI	tRNA-Ile	3556	3622	+
TrnL	tRNA-Leu	4796	4868	+
TrnQ	tRNA-Gln	4869	4940	-
TrnM	tRNA-Met	4944	5005	+
ND2	NADH dehydrogenase subunit 2	5006	6037	+
TrnW	tRNA-Trp	6038	6103	+
TrnA	tRNA-Ala	6103	6166	-
TrnN	tRNA-Asn	6167	6239	-
TrnC	tRNA-Cys	6273	6329	-
TrnY	tRNA-Tyr	6330	6395	-
COX1	cytochrome c oxidase subunit I	6397	7998	+
TrnS	tRNA-Ser	7989	8060	-
TrnD	tRNA-Asp	8061	8124	+
COX2	cytochrome c oxidase subunit II	8125	8810	+
TrnK	tRNA-Lys	8811	8873	+
ATP8	ATP synthase F0 subunit 8	8874	9044	+
ATP6	ATP synthase F0 subunit 6	9035	9715	+
COX3	cytochrome c oxidase subunit III	9721	10504	+
TrnG	tRNA-Gly	10505	10569	+
ND3	NADH dehydrogenase subunit 3	10570	10912	+
TrnR	tRNA-Arg	10913	10978	+
ND4L	NADH dehydrogenase subunit 4L	10979	11269	+
ND4	NADH dehydrogenase subunit 4	11269	12624	+
TrnH	tRNA-His	12625	12691	+
TrnS	tRNA-Ser	12692	12749	+
TrnL	tRNA-Leu	12749	12819	+
ND5	NADH dehydrogenase subunit 5	12821	14608	+
ND6	NADH dehydrogenase subunit 6	14604	15116	-
TrnE	tRNA-Glu	15126	15191	-
CYTB	cytochrome b	15192	16305	+
TrnT	tRNA-Thr	16306	16373	+
TrnP	tRNA-Pro	16374	16436	-
