Gene	Product	Start	Stop	Strand
TrnL	tRNA-Leu	1	74	+
ND1	NADH dehydrogenase subunit 1	75	1041	+
TrnI	tRNA-Ile	1042	1110	+
TrnQ	tRNA-Gln	1109	1178	-
TrnM	tRNA-Met	1180	1247	+
ND2	NADH dehydrogenase subunit 2	1248	2288	+
TrnW	tRNA-Trp	2288	2353	+
TrnA	tRNA-Ala	2355	2423	-
TrnN	tRNA-Asn	2424	2496	-
TrnC	tRNA-Cys	2497	2557	-
TrnY	tRNA-Tyr	2556	2625	-
COX1	cytochrome c oxidase subunit I	2618	4177	+
TrnS	tRNA-Ser	4170	4239	-
TrnD	tRNA-Asp	4241	4307	+
COX2	cytochrome c oxidase subunit II	4309	4995	+
TrnK	tRNA-Lys	4994	5059	+
TrnK	tRNA-Lys	5058	5123	+
ATP8	ATP synthase F0 subunit 8	5124	5277	+
ATP6	ATP synthase F0 subunit 6	5273	5956	+
COX3	cytochrome c oxidase subunit III	5956	6739	+
TrnG	tRNA-Gly	6740	6806	+
ND3	NADH dehydrogenase subunit 3	6807	7155	+
TrnR	tRNA-Arg	7156	7223	+
ND4L	NADH dehydrogenase subunit 4L	7224	7520	+
ND4	NADH dehydrogenase subunit 4	7514	8896	+
ND6	NADH dehydrogenase subunit 6	8905	9429	-
TrnE	tRNA-Glu	9430	9497	-
TrnL	tRNA-Leu	10321	10398	+
CYTB	cytochrome b	10390	11532	+
TrnP	tRNA-Pro	11539	11606	-
TrnS	tRNA-Ser	11630	11688	+
TrnF	tRNA-Phe	12615	12684	+
srRNA	s-rRNA	12685	13589	+
TrnV	tRNA-Val	13590	13664	+
lrRNA	l-rRNA	13665	15181	+
