Gene	Product	Start	Stop	Strand
srRNA	12S ribosomal RNA	1	984	+
TrnV	tRNA-Val	991	1059	+
lrRNA	16S ribosomal RNA	1060	2646	+
TrnL	tRNA-Leu	2658	2733	+
ND1	NADH dehydrogenase subunit 1	2734	3696	+
TrnI	tRNA-Ile	3695	3766	+
TrnQ	tRNA-Gln	3767	3835	-
TrnM	tRNA-Met	3838	3905	+
ND2	NADH dehydrogenase subunit 2	3910	4964	+
TrnW	tRNA-Trp	4965	5040	+
TrnA	tRNA-Ala	5044	5109	-
TrnN	tRNA-Asn	5112	5184	-
TrnC	tRNA-Cys	5191	5256	-
TrnY	tRNA-Tyr	5257	5329	-
COX1	cytochrome c oxidase subunit I	5329	6885	+
TrnS	tRNA-Ser	6908	6975	-
TrnD	tRNA-Asp	6979	7049	+
COX2	cytochrome c oxidase subunit II	7050	7733	+
TrnK	tRNA-Lys	7735	7808	+
ATP8	ATP synthase F0 subunit 8	7810	7971	+
ATP6	ATP synthase F0 subunit 6	7962	8645	+
COX3	cytochrome c oxidase subunit III	8645	9428	+
TrnG	tRNA-Gly	9429	9498	+
ND3	NADH dehydrogenase subunit 3	9499	9846	+
TrnR	tRNA-Arg	9857	9925	+
ND4L	NADH dehydrogenase subunit 4L	9929	10222	+
ND4	NADH dehydrogenase subunit 4	10216	11589	+
TrnS	tRNA-Ser	11619	11679	+
TrnH	tRNA-His	11697	11767	+
TrnL	tRNA-Leu	11793	11864	+
ND5	NADH dehydrogenase subunit 5	11868	13721	+
ND6	NADH dehydrogenase subunit 6	13678	14205	-
TrnE	tRNA-Glu	14206	14276	-
CYTB	cytochrome b	14292	15447	+
TrnT	tRNA-Thr	15504	15575	+
TrnP	tRNA-Pro	15587	15654	-
TrnF	tRNA-Phe	15665	15735	+
