Gene	Product	Start	Stop	Strand
TrnF	tRNA-Phe	1	65	+
srRNA	s-rRNA	66	999	+
TrnV	tRNA-Val	1000	1063	+
lrRNA	l-rRNA	1064	2535	+
ND1	NADH dehydrogenase subunit 1	2536	3499	+
TrnI	tRNA-Ile	3500	3565	+
TrnP	tRNA-Pro	3566	3601	-
TrnL	tRNA-Leu	4620	4692	+
TrnQ	tRNA-Gln	4694	4764	-
TrnM	tRNA-Met	4766	4828	+
ND2	NADH dehydrogenase subunit 2	4829	5858	+
TrnW	tRNA-Trp	5859	5923	+
TrnA	tRNA-Ala	5926	5990	-
TrnN	tRNA-Asn	5991	6062	-
TrnC	tRNA-Cys	6097	6156	-
TrnY	tRNA-Tyr	6157	6218	-
COX1	cytochrome c oxidase subunit I	6220	7765	+
TrnS	tRNA-Ser	7812	7877	-
TrnD	tRNA-Asp	7878	7940	+
COX2	cytochrome c oxidase subunit II	7941	8625	+
TrnK	tRNA-Lys	8626	8688	+
ATP8	ATP synthase F0 subunit 8	8690	8848	+
ATP6	ATP synthase F0 subunit 6	8839	9519	+
COX3	cytochrome c oxidase subunit III	9519	10302	+
TrnG	tRNA-Gly	10303	10363	+
ND3	NADH dehydrogenase subunit 3	10364	10706	+
TrnR	tRNA-Arg	10707	10771	+
ND4L	NADH dehydrogenase subunit 4L	10772	11061	+
ND4	NADH dehydrogenase subunit 4	11062	12399	+
TrnH	tRNA-His	12400	12465	+
TrnS	tRNA-Ser	12466	12523	+
TrnL	tRNA-Leu	12521	12591	+
ND5	NADH dehydrogenase subunit 5	12592	14364	+
ND6	NADH dehydrogenase subunit 6	14356	14856	-
TrnE	tRNA-Glu	14866	14927	-
CYTB	cytochrome b	14929	16045	+
TrnT	tRNA-Thr	16046	16110	+
TrnP	tRNA-Pro	16111	16172	-
