Gene	Product	Start	Stop	Strand
TrnP	tRNA-Pro	1	56	+
TrnV	tRNA-Val	57	113	+
ND6	NADH dehydrogenase subunit 6	114	548	+
ND4L	NADH dehydrogenase subunit 4L	551	784	+
TrnW	tRNA-Trp	785	841	+
TrnE	tRNA-Glu	842	900	+
srRNA	s-rRNA	901	1601	+
TrnS	tRNA-Ser	1618	1671	+
TrnN	tRNA-Asn	2558	2614	+
TrnY	tRNA-Tyr	2625	2682	+
ND1	NADH dehydrogenase subunit 1	2683	3555	+
ATP6	ATP synthase F0 subunit 6	3561	4160	+
TrnK	tRNA-Lys	4169	4230	+
TrnL	tRNA-Leu	4236	4290	+
TrnS	tRNA-Ser	4291	4341	+
ND2	NADH dehydrogenase subunit 2	4342	5185	+
TrnI	tRNA-Ile	5186	5246	+
TrnR	tRNA-Arg	5247	5300	+
TrnQ	tRNA-Gln	5304	5358	+
TrnF	tRNA-Phe	5374	5432	+
CYTB	cytochrome b	5433	6530	+
TrnL	tRNA-Leu	6545	6600	+
COX3	cytochrome c oxidase subunit III	6601	7368	+
TrnT	tRNA-Thr	7369	7423	+
ND4	NADH dehydrogenase subunit 4	7424	8653	+
COX1	cytochrome c oxidase subunit I	8771	10347	+
TrnC	tRNA-Cys	10348	10405	+
TrnM	tRNA-Met	10410	10470	+
TrnD	tRNA-Asp	10471	10530	+
TrnG	tRNA-Gly	10535	10590	+
COX2	cytochrome c oxidase subunit II	10591	11289	+
TrnH	tRNA-His	11291	11345	+
lrRNA	l-rRNA	11346	12305	+
ND3	NADH dehydrogenase subunit 3	12306	12641	+
ND5	NADH dehydrogenase subunit 5	12642	14226	+
TrnA	tRNA-Ala	14227	14282	+
