Gene	Product	Start	Stop	Strand
TrnF	tRNA-Phe	1	70	+
srRNA	12S ribosomal RNA	71	1046	+
TrnV	tRNA-Val	1047	1117	+
lrRNA	16S ribosomal RNA	1118	2718	+
TrnL	tRNA-Leu	2719	2792	+
ND1	NADH dehydrogenase subunit 1	2803	3780	+
TrnI	tRNA-Ile	3802	3871	+
TrnQ	tRNA-Gln	3883	3953	-
TrnM	tRNA-Met	3966	4034	+
ND2	NADH dehydrogenase subunit 2	4035	5075	+
TrnW	tRNA-Trp	5077	5148	+
TrnA	tRNA-Ala	5150	5218	-
TrnN	tRNA-Asn	5225	5298	-
TrnC	tRNA-Cys	5305	5371	-
TrnY	tRNA-Tyr	5371	5442	-
COX1	cytochrome c oxidase subunit I	5444	6994	+
TrnS	tRNA-Ser	6986	7059	+
TrnD	tRNA-Asp	7062	7130	+
COX2	cytochrome c oxidase subunit II	7134	7817	+
TrnK	tRNA-Lys	7819	7887	+
ATP8	ATP synthase F0 subunit 8	7889	8056	+
ATP6	ATP synthase F0 subunit 6	8047	8730	+
COX3	cytochrome c oxidase subunit III	8740	9523	+
TrnG	tRNA-Gly	9524	9592	+
ND3	NADH dehydrogenase subunit 3	9593	9943	+
TrnR	tRNA-Arg	9948	10015	+
ND4L	NADH dehydrogenase subunit 4L	10017	10313	+
ND4	NADH dehydrogenase subunit 4	10307	11684	+
TrnH	tRNA-His	11685	11754	+
TrnS	tRNA-Ser	11755	11821	+
TrnL	tRNA-Leu	11821	11891	+
ND5	NADH dehydrogenase subunit 5	11892	13697	+
CYTB	cytochrome b	13707	14849	+
TrnT	tRNA-Thr	14854	14921	+
TrnP	tRNA-Pro	16375	16445	-
ND6	NADH dehydrogenase subunit 6	16451	16972	-
TrnE	tRNA-Glu	16973	17043	-
