Gene	Product	Start	Stop	Strand
COX3	cytochrome c oxidase subunit III	1	642	+
TrnH	tRNA-His	650	713	+
CYTB	cytochrome b	715	1827	+
ND4L	NADH dehydrogenase subunit 4L	1836	2108	+
ND4	NADH dehydrogenase subunit 4	2069	3340	+
TrnQ	tRNA-Gln	3342	3404	+
TrnF	tRNA-Phe	3417	3482	+
TrnM	tRNA-Met	3494	3561	+
ATP6	ATP synthase F0 subunit 6	3562	4080	+
ND2	NADH dehydrogenase subunit 2	4093	4959	+
TrnV	tRNA-Val	4965	5027	+
TrnA	tRNA-Ala	5042	5104	+
TrnD	tRNA-Asp	5107	5172	+
ND1	NADH dehydrogenase subunit 1	5176	6078	+
TrnN	tRNA-Asn	6089	6158	+
TrnP	tRNA-Pro	6168	6234	+
TrnI	tRNA-Ile	6235	6296	+
TrnK	tRNA-Lys	6301	6367	+
ND3	NADH dehydrogenase subunit 3	6368	6724	+
TrnS	tRNA-Ser	6731	6788	+
TrnW	tRNA-Trp	6796	6858	+
COX1	cytochrome c oxidase subunit I	6871	8403	+
TrnT	tRNA-Thr	8420	8488	+
lrRNA	l-rRNA	8489	9475	+
TrnC	tRNA-Cys	9476	9538	+
srRNA	s-rRNA	9539	10304	+
COX2	cytochrome c oxidase subunit II	10305	10907	+
ND6	NADH dehydrogenase subunit 6	10950	11402	+
TrnY	tRNA-Tyr	11411	11467	+
TrnL	tRNA-Leu	11478	11543	+
TrnS	tRNA-Ser	11542	11603	+
TrnL	tRNA-Leu	11609	11673	+
TrnR	tRNA-Arg	11673	11738	+
ND5	NADH dehydrogenase subunit 5	11737	13305	+
TrnE	tRNA-Glu	13327	13395	+
TrnG	tRNA-Gly	13583	13645	+
