Gene	Product	Start	Stop	Strand
COX3	cytochrome c oxidase subunit III	1	780	+
ND3	NADH dehydrogenase subunit 3	861	1214	+
TrnS	tRNA-Ser	1258	1312	-
CYTB	cytochrome b	1313	2452	-
ND6	NADH dehydrogenase subunit 6	2456	2962	-
TrnP	tRNA-Pro	2964	3027	-
ND1	NADH dehydrogenase subunit 1	3028	3969	-
TrnQ	tRNA-Gln	4026	4094	-
TrnI	tRNA-Ile	4550	4614	+
lrRNA	l-rRNA	4707	6008	-
TrnV	tRNA-Val	6009	6076	-
srRNA	s-rRNA	6156	6937	-
TrnW	tRNA-Trp	7055	7121	-
TrnK	tRNA-Lys	7629	7698	+
TrnS	tRNA-Ser	7705	7772	+
ND2	NADH dehydrogenase subunit 2	7773	8813	+
COX1	cytochrome c oxidase subunit I	8785	10317	+
TrnC	tRNA-Cys	10366	10430	-
TrnY	tRNA-Tyr	10429	10493	-
TrnE	tRNA-Glu	10501	10577	+
TrnN	tRNA-Asn	10711	10776	+
COX2	cytochrome c oxidase subunit II	10786	11478	+
TrnM	tRNA-Met	11520	11585	-
TrnR	tRNA-Arg	11625	11690	+
TrnF	tRNA-Phe	11694	11757	-
ND5	NADH dehydrogenase subunit 5	11762	13462	-
ND4	NADH dehydrogenase subunit 4	13527	14891	-
ND4L	NADH dehydrogenase subunit 4L	14885	15181	-
TrnT	tRNA-Thr	15194	15256	+
TrnL	tRNA-Leu	15273	15340	-
TrnG	tRNA-Gly	15350	15414	-
TrnA	tRNA-Ala	15924	15989	+
TrnD	tRNA-Asp	16002	16066	+
ATP8	ATP synthase F0 subunit 8	16068	16223	+
ATP6	ATP synthase F0 subunit 6	16210	16914	+
TrnH	tRNA-His	16956	17018	-
TrnL	tRNA-Leu	17022	17091	-
