Gene	Product	Start	Stop	Strand
COX1	cytochrome oxidase subunit 1	1	1492	+
TrnV	tRNA-Val	1493	1552	+
lrRNA	16S ribosomal RNA	1548	2762	+
TrnL	tRNA-Leu	2767	2826	+
TrnA	tRNA-Ala	2828	2889	+
ND6	NADH dehydrogenase subunit 6	2884	3379	+
TrnP	tRNA-Pro	3379	3441	+
ND5	NADH dehydrogenase subunit 5	3444	5129	+
ND1	NADH dehydrogenase subunit 1	5138	6023	+
ND4L	NADH dehydrogenase subunit 4L	6024	6263	+
CYTB	cytochrome b	6260	7402	+
TrnD	tRNA-Asp	7383	7438	+
TrnC	tRNA-Cys	7439	7498	+
TrnF	tRNA-Phe	7501	7561	+
COX2	cytochrome oxidase subunit II	7561	8214	+
TrnY	tRNA-Tyr	8205	8265	+
TrnW	tRNA-Trp	8260	8319	+
TrnG	tRNA-Gly	8320	8380	+
TrnH	tRNA-His	8377	8434	+
TrnQ	tRNA-Gln	8435	8492	-
ATP8	ATPase subunit 8	8543	8704	-
TrnN	tRNA-Asn	8706	8766	-
ATP6	ATPase subunit 6	8789	9347	-
TrnR	tRNA-Arg	9389	9451	-
TrnE	tRNA-Glu	9446	9507	-
srRNA	12S ribosomal RNA	9515	10224	-
TrnM	tRNA-Met	10198	10259	-
ND3	NADH dehydrogenase subunit 3	10234	10638	-
TrnT	tRNA-Thr	10653	10712	-
COX3	cytochrome oxidase subunit III	10713	11526	-
TrnS	tRNA-Ser	11685	11739	+
ND4	NADH dehydrogenase subunit 4	11775	13034	+
TrnI	tRNA-Ile	13031	13090	+
ND2	NADH dehydrogenase subunit 2	13116	14063	+
TrnK	tRNA-Lys	14012	14075	+
