Gene	Product	Start	Stop	Strand
TrnF	tRNA-Phe	1	68	+
srRNA	s-rRNA	69	1031	+
TrnV	tRNA-Val	1032	1102	+
lrRNA	l-rRNA	1103	2685	+
TrnL	tRNA-Leu	2686	2759	+
ND1	NADH dehydrogenase subunit 1	2771	3745	+
TrnI	tRNA-Ile	3754	3824	+
TrnQ	tRNA-Gln	3839	3909	-
TrnM	tRNA-Met	3909	3977	+
ND2	NADH dehydrogenase subunit 2	3978	5018	+
TrnW	tRNA-Trp	5017	5087	+
TrnA	tRNA-Ala	5089	5157	-
TrnN	tRNA-Asn	5160	5232	-
TrnC	tRNA-Cys	5236	5302	-
TrnY	tRNA-Tyr	5302	5372	-
COX1	cytochrome c oxidase subunit I	5374	6924	+
TrnS	tRNA-Ser	6916	6988	-
TrnD	tRNA-Asp	6991	7059	+
COX2	cytochrome c oxidase subunit II	7061	7748	+
TrnK	tRNA-Lys	7749	7816	+
ATP8	ATP synthase F0 subunit 8	7818	7985	+
ATP6	ATP synthase F0 subunit 6	7976	8659	+
COX3	cytochrome c oxidase subunit III	8659	9442	+
TrnG	tRNA-Gly	9443	9511	+
ND3	NADH dehydrogenase subunit 3	9512	9863	+
TrnR	tRNA-Arg	9866	9933	+
ND4L	NADH dehydrogenase subunit 4L	9934	10230	+
ND4	NADH dehydrogenase subunit 4	10224	11600	+
TrnH	tRNA-His	11602	11671	+
TrnS	tRNA-Ser	11672	11737	+
TrnL	tRNA-Leu	11737	11807	+
ND5	NADH dehydrogenase subunit 5	11808	13625	+
CYTB	cytochrome b	13638	14777	+
TrnT	tRNA-Thr	14783	14852	+
TrnP	tRNA-Pro	14862	14931	-
ND6	NADH dehydrogenase subunit 6	14947	15471	-
TrnE	tRNA-Glu	15475	15543	-
