Gene	Product	Start	Stop	Strand
srRNA	12S ribosomal RNA	1	976	+
TrnV	tRNA-Val	977	1044	+
lrRNA	16S ribosomal RNA	1046	2635	+
TrnL	tRNA-Leu	2636	2710	+
ND1	NADH dehydrogenase subunit 1	2711	3676	+
TrnI	tRNA-Ile	3674	3744	+
TrnQ	tRNA-Gln	3746	3816	-
TrnM	tRNA-Met	3816	3887	+
ND2	NADH dehydrogenase subunit 2	3889	4950	+
TrnW	tRNA-Trp	4950	5025	+
TrnA	tRNA-Ala	5030	5095	-
TrnN	tRNA-Asn	5098	5170	-
TrnC	tRNA-Cys	5175	5240	-
TrnY	tRNA-Tyr	5241	5317	-
COX1	cytochrome c oxidase subunit I	5314	6868	+
TrnS	tRNA-Ser	6872	6945	-
TrnD	tRNA-Asp	6948	7021	+
COX2	cytochrome c oxidase subunit II	7021	7708	+
TrnK	tRNA-Lys	7709	7786	+
ATP8	ATP synthase F0 subunit 8	7789	7950	+
ATP6	ATP synthase F0 subunit 6	7947	8624	+
COX3	cytochrome c oxidase subunit III	8624	9407	+
TrnG	tRNA-Gly	9408	9480	+
ND3	NADH dehydrogenase subunit 3	9481	9828	+
TrnR	tRNA-Arg	9858	9927	+
ND4L	NADH dehydrogenase subunit 4L	9930	10223	+
ND4	NADH dehydrogenase subunit 4	10217	11590	+
TrnS	tRNA-Ser	11614	11682	+
TrnH	tRNA-His	11688	11755	+
TrnL	tRNA-Leu	11764	11836	+
ND5	NADH dehydrogenase subunit 5	11839	13650	+
ND6	NADH dehydrogenase subunit 6	13646	14161	-
TrnE	tRNA-Glu	14162	14229	-
CYTB	cytochrome b	14233	15391	+
TrnT	tRNA-Thr	15423	15496	+
TrnP	tRNA-Pro	15495	15580	-
TrnF	tRNA-Phe	15589	15658	+
