Gene	Product	Start	Stop	Strand
ND5	NADH dehydrogenase subunit 5	11	1648	+
ND1	NADH dehydrogenase subunit 1	1642	2541	+
ND4L	NADH dehydrogenase subunit 4L	2549	2846	+
CYTB	cytochrome b	2847	3949	+
TrnD	tRNA-Asp	3950	4016	+
TrnC	tRNA-Cys	4012	4079	+
TrnF	tRNA-Phe	4080	4149	+
COX2	cytochrome c oxidase subunit II	4153	4827	+
TrnY	tRNA-Tyr	4849	4912	+
TrnW	tRNA-Trp	4908	4975	+
TrnG	tRNA-Gly	4977	5043	+
TrnH	tRNA-His	5040	5107	+
TrnQ	tRNA-Gln	5112	5172	-
TrnL	tRNA-Leu	5171	5237	-
ATP8	ATP synthase F0 subunit 8	5254	5421	-
TrnN	tRNA-Asn	5423	5483	-
ATP6	ATP synthase F0 subunit 6	5484	6126	-
TrnR	tRNA-Arg	6128	6194	-
TrnE	tRNA-Glu	6198	6269	-
srRNA	s-rRNA	6270	7028	-
TrnM	tRNA-Met	7029	7089	-
ND3	NADH dehydrogenase subunit 3	7090	7441	-
TrnS	tRNA-Ser	7451	7518	-
TrnS	tRNA-Ser	7507	7564	-
ND4	NADH dehydrogenase subunit 4	7565	8878	+
TrnT	tRNA-Thr	8888	8953	-
COX3	cytochrome c oxidase subunit III	8961	9740	-
TrnI	tRNA-Ile	9783	9849	+
ND2	NADH dehydrogenase subunit 2	9850	10773	+
TrnK	tRNA-Lys	10774	10840	+
COX1	cytochrome c oxidase subunit I	10834	12362	+
TrnV	tRNA-Val	12363	12427	+
lrRNA	l-rRNA	12428	13462	+
TrnL	tRNA-Leu	13463	13526	+
TrnP	tRNA-Pro	13523	13587	+
TrnA	tRNA-Ala	13586	13655	+
ND6	NADH dehydrogenase subunit 6	13663	14130	+
