Gene	Product	Start	Stop	Strand
TrnF	tRNA-Phe	1	65	+
srRNA	s-rRNA	66	1029	+
TrnV	tRNA-Val	1030	1094	+
lrRNA	l-rRNA	1095	2631	+
TrnL	tRNA-Leu	2632	2704	+
ND1	NADH dehydrogenase subunit 1	2707	3668	+
TrnI	tRNA-Ile	3669	3739	+
TrnQ	tRNA-Gln	3740	3810	-
TrnM	tRNA-Met	3810	3878	+
ND2	NADH dehydrogenase subunit 2	3879	4917	+
TrnW	tRNA-Trp	4918	4991	+
TrnA	tRNA-Ala	4992	5061	-
TrnN	tRNA-Asn	5062	5135	-
TrnC	tRNA-Cys	5156	5212	-
TrnY	tRNA-Tyr	5216	5287	-
COX1	cytochrome c oxidase subunit I	5289	6824	+
TrnS	tRNA-Ser	6825	6898	-
TrnD	tRNA-Asp	6899	6967	+
COX2	cytochrome c oxidase subunit II	6968	7652	+
TrnK	tRNA-Lys	7653	7718	+
ATP8	ATP synthase F0 subunit 8	7720	7881	+
ATP6	ATP synthase F0 subunit 6	7872	8551	+
COX3	cytochrome c oxidase subunit III	8552	9335	+
TrnG	tRNA-Gly	9336	9403	+
ND3	NADH dehydrogenase subunit 3	9404	9749	+
TrnR	tRNA-Arg	9750	9818	+
ND4L	NADH dehydrogenase subunit 4L	9820	10116	+
ND4	NADH dehydrogenase subunit 4	10110	11482	+
TrnH	tRNA-His	11483	11552	+
TrnS	tRNA-Ser	11553	11617	+
TrnL	tRNA-Leu	11618	11688	+
ND5	NADH dehydrogenase subunit 5	11690	13480	+
TrnE	tRNA-Glu	13487	13557	-
ND6	NADH dehydrogenase subunit 6	13562	14080	-
CYTB	cytochrome b	14158	15313	+
TrnT	tRNA-Thr	15352	15382	+
TrnP	tRNA-Pro	15383	15434	-
TrnT	tRNA-Thr	15474	15546	+
TrnP	tRNA-Pro	15550	15616	-
