Gene	Product	Start	Stop	Strand
TrnF	tRNA-Phe	1	68	+
srRNA	s-rRNA	70	1024	+
TrnV	tRNA-Val	1025	1093	+
lrRNA	16S ribosomal RNA	1094	2675	+
TrnL	tRNA-Leu	2676	2750	+
ND1	NADH dehydrogenase subunit 1	2751	3707	+
TrnI	tRNA-Ile	3706	3774	+
TrnQ	tRNA-Gln	3772	3842	-
TrnM	tRNA-Met	3845	3913	+
ND2	NADH dehydrogenase subunit 2	3914	4951	+
TrnW	tRNA-Trp	4950	5016	+
TrnA	tRNA-Ala	5018	5086	-
TrnN	tRNA-Asn	5089	5159	-
TrnC	tRNA-Cys	5192	5257	-
TrnY	tRNA-Tyr	5260	5326	-
COX1	cytochrome c oxidase subunit I	5328	6872	+
TrnS	tRNA-Ser	6870	6938	-
TrnD	tRNA-Asp	6942	7011	+
COX2	cytochrome c oxidase subunit II	7013	7696	+
TrnK	tRNA-Lys	7700	7764	+
ATP8	ATP synthase F0 subunit 8	7766	7969	+
ATP6	ATP synthase F0 subunit 6	7927	8607	+
COX3	cytochrome c oxidase subunit III	8607	9390	+
TrnG	tRNA-Gly	9391	9458	+
ND3	NADH dehydrogenase subunit 3	9459	9806	+
TrnR	tRNA-Arg	9808	9875	+
ND4L	NADH dehydrogenase subunit 4L	9877	10173	+
ND4	NADH dehydrogenase subunit 4	10167	11544	+
TrnH	tRNA-His	11546	11612	+
TrnS	tRNA-Ser	11613	11671	+
TrnL	tRNA-Leu	11671	11741	+
ND5	NADH dehydrogenase subunit 5	11742	13565	+
ND6	NADH dehydrogenase subunit 6	13552	14070	-
TrnE	tRNA-Glu	14071	14139	-
CYTB	cytochrome b	14145	15288	+
TrnT	tRNA-Thr	15289	15355	+
TrnP	tRNA-Pro	15356	15422	-
