Gene	Product	Start	Stop	Strand
TrnF	tRNA-Phe	1296	1365	+
srRNA	12S ribosomal RNA	1366	2343	+
TrnV	tRNA-Val	2344	2413	+
lrRNA	16S ribosomal RNA	2414	4013	+
TrnL	tRNA-Leu	4014	4088	+
ND1	NADH dehydrogenase subunit 1	4097	5074	+
TrnI	tRNA-Ile	5081	5152	+
TrnQ	tRNA-Gln	5158	5228	-
TrnM	tRNA-Met	5228	5296	+
ND2	NADH dehydrogenase subunit 2	5297	6337	+
TrnW	tRNA-Trp	6337	6406	+
TrnA	tRNA-Ala	6408	6476	-
TrnN	tRNA-Asn	6486	6558	-
TrnC	tRNA-Cys	6559	6625	-
TrnY	tRNA-Tyr	6625	6695	-
COX1	cytochrome c oxidase subunit I	6697	8247	+
TrnS	tRNA-Ser	8239	8310	+
TrnD	tRNA-Asp	8316	8384	+
COX2	cytochrome c oxidase subunit II	8395	9078	+
TrnK	tRNA-Lys	9090	9158	+
ATP8	ATP synthase F0 subunit 8	9160	9327	+
ATP6	ATP synthase F0 subunit 6	9318	10001	+
COX3	cytochrome c oxidase subunit III	10007	10790	+
TrnG	tRNA-Gly	10791	10859	+
ND3	NADH dehydrogenase subunit 3	10860	11210	+
TrnR	tRNA-Arg	11212	11281	+
ND4L	NADH dehydrogenase subunit 4L	11283	11579	+
ND4	NADH dehydrogenase subunit 4	11573	12950	+
TrnH	tRNA-His	12951	13020	+
TrnS	tRNA-Ser	13021	13086	+
TrnL	tRNA-Leu	13086	13156	+
ND5	NADH dehydrogenase subunit 5	13157	14974	+
CYTB	cytochrome b	14983	16125	+
TrnT	tRNA-Thr	16129	16197	+
TrnP	tRNA-Pro	16210	16279	-
ND6	NADH dehydrogenase subunit 6	16306	16824	-
TrnE	tRNA-Glu	16826	16895	-
