Gene	Product	Start	Stop	Strand
COX1	cytochrome c oxidase subunit I	1	1585	+
TrnR	tRNA-Arg	1586	1650	+
ND4L	NADH dehydrogenase subunit 4L	1652	1942	+
COX2	cytochrome c oxidase subunit II	1945	2640	+
TrnK	tRNA-Lys	2648	2719	+
ATP8	ATP synthase F0 subunit 8	2720	2893	+
ATP6	ATP synthase F0 subunit 6	2881	3564	+
COX3	cytochrome c oxidase subunit III	3567	4361	+
TrnS	tRNA-Ser	4360	4433	-
ND3	NADH dehydrogenase subunit 3	4439	4783	+
ND4	NADH dehydrogenase subunit 4	4786	6144	+
TrnH	tRNA-His	6148	6216	+
TrnS	tRNA-Ser	6217	6285	+
ND5	NADH dehydrogenase subunit 5	6286	8067	+
TrnT	tRNA-Thr	8212	8287	-
ND6	NADH dehydrogenase subunit 6	8310	8789	-
TrnM	tRNA-Met	9737	9808	-
TrnA	tRNA-Ala	9809	9873	-
TrnE	tRNA-Glu	9874	9938	-
TrnG	tRNA-Gly	9935	10002	-
lrRNA	l-rRNA	10003	11420	-
TrnL	tRNA-Leu	11421	11491	-
TrnP	tRNA-Pro	11493	11560	-
srRNA	s-rRNA	11561	12443	-
TrnF	tRNA-Phe	12444	12514	-
CYTB	cytochrome b	12558	13701	-
TrnD	tRNA-Asp	13706	13774	-
ND2	NADH dehydrogenase subunit 2	13765	14823	-
TrnI	tRNA-Ile	14863	14933	-
ND1	NADH dehydrogenase subunit 1	14934	15930	-
TrnL	tRNA-Leu	15940	16012	-
TrnN	tRNA-Asn	16016	16088	-
TrnQ	tRNA-Gln	16092	16162	+
TrnC	tRNA-Cys	16161	16229	+
TrnV	tRNA-Val	16229	16298	-
TrnY	tRNA-Tyr	16299	16369	-
TrnW	tRNA-Trp	16374	16442	+
