Gene	Product	Start	Stop	Strand
TrnF	tRNA-Phe	577	647	+
srRNA	s-rRNA	648	1601	+
TrnV	tRNA-Val	1602	1670	+
lrRNA	l-rRNA	1671	3229	+
TrnL	tRNA-Leu	3230	3304	+
ND1	NADH dehydrogenase subunit 1	3307	4262	+
TrnI	tRNA-Ile	4263	4331	+
TrnQ	tRNA-Gln	4329	4400	-
TrnM	tRNA-Met	4402	4469	+
ND2	NADH dehydrogenase subunit 2	4470	5511	+
TrnW	tRNA-Trp	5512	5579	+
TrnA	tRNA-Ala	5587	5655	-
TrnN	tRNA-Asn	5657	5729	-
TrnC	tRNA-Cys	5761	5826	-
TrnY	tRNA-Tyr	5826	5891	-
COX1	cytochrome c oxidase subunit I	5904	7445	+
TrnS	tRNA-Ser	7446	7514	-
TrnD	tRNA-Asp	7518	7585	+
COX2	cytochrome c oxidase subunit II	7586	8269	+
TrnK	tRNA-Lys	8295	8364	+
ATP8	ATP synthase F0 subunit 8	8366	8572	+
ATP6	ATP synthase F0 subunit 6	8527	9207	+
COX3	cytochrome c oxidase subunit III	9207	9990	+
TrnG	tRNA-Gly	9991	10058	+
ND3	NADH dehydrogenase subunit 3	10059	10404	+
TrnR	tRNA-Arg	10405	10469	+
ND4L	NADH dehydrogenase subunit 4L	10470	10766	+
ND4	NADH dehydrogenase subunit 4	10760	12137	+
TrnH	tRNA-His	12138	12206	+
TrnS	tRNA-Ser	12207	12265	+
TrnL	tRNA-Leu	12266	12336	+
ND5	NADH dehydrogenase subunit 5	12337	14148	+
ND6	NADH dehydrogenase subunit 6	14149	14673	-
TrnE	tRNA-Glu	14674	14742	-
CYTB	cytochrome b	14747	15887	+
TrnT	tRNA-Thr	15888	15953	+
TrnP	tRNA-Pro	15956	16023	-
