Gene	Product	Start	Stop	Strand
TrnF	tRNA-Phe	1	72	+
srRNA	12S ribosomal RNA	73	1015	+
TrnV	tRNA-Val	1016	1081	+
lrRNA	16S ribosomal RNA	1082	2643	+
TrnL	tRNA-Leu	2644	2718	+
ND1	NADH dehydrogenase subunit 1	2807	3763	+
TrnI	tRNA-Ile	3764	3832	+
TrnQ	tRNA-Gln	3830	3901	-
TrnM	tRNA-Met	3901	3969	+
ND2	NADH dehydrogenase subunit 2	3971	5014	+
TrnW	tRNA-Trp	5013	5079	+
TrnA	tRNA-Ala	5083	5150	-
TrnN	tRNA-Asn	5151	5223	-
TrnC	tRNA-Cys	5256	5320	-
TrnY	tRNA-Tyr	5321	5387	-
COX1	cytochrome c oxidase subunit I	5389	6930	+
TrnS	tRNA-Ser	6932	7002	-
TrnD	tRNA-Asp	7006	7073	+
COX2	cytochrome c oxidase subunit II	7074	7766	+
TrnK	tRNA-Lys	7762	7827	+
ATP8	ATP synthase F0 subunit 8	7829	8038	+
ATP6	ATP synthase F0 subunit 6	7993	8673	+
COX3	cytochrome c oxidase subunit III	8673	9456	+
TrnG	tRNA-Gly	9457	9526	+
ND3	NADH dehydrogenase subunit 3	9527	9874	+
TrnR	tRNA-Arg	9872	9940	+
ND4L	NADH dehydrogenase subunit 4L	9941	10237	+
ND4	NADH dehydrogenase subunit 4	10231	11608	+
TrnH	tRNA-His	11609	11677	+
TrnS	tRNA-Ser	11678	11735	+
TrnL	tRNA-Leu	11732	11802	+
ND5	NADH dehydrogenase subunit 5	11803	13617	+
ND6	NADH dehydrogenase subunit 6	13614	14114	-
TrnE	tRNA-Glu	14115	14183	-
CYTB	cytochrome b	14186	15325	+
TrnT	tRNA-Thr	15325	15393	+
TrnP	tRNA-Pro	15394	15460	-
