Gene	Product	Start	Stop	Strand
COX1	cytochrome c oxidase subunit I	1	1554	+
TrnR	tRNA-Arg	1562	1627	+
ND4L	NADH dehydrogenase subunit 4L	1630	1926	+
COX2	cytochrome c oxidase subunit II	1928	2617	+
TrnK	tRNA-Lys	2619	2686	+
ATP8	ATP synthase F0 subunit 8	2687	2854	+
ATP6	ATP synthase F0 subunit 6	2842	3531	+
COX3	cytochrome c oxidase subunit III	3534	4316	+
TrnS	tRNA-Ser	4315	4385	-
ND3	NADH dehydrogenase subunit 3	4413	4757	+
ND4	NADH dehydrogenase subunit 4	4764	6134	+
TrnH	tRNA-His	6125	6193	+
TrnS	tRNA-Ser	6193	6262	+
ND5	NADH dehydrogenase subunit 5	6262	8097	+
ND6	NADH dehydrogenase subunit 6	8116	8604	-
CYTB	cytochrome b	8613	9758	+
TrnF	tRNA-Phe	9753	9825	+
srRNA	12S ribosomal RNA	9826	10649	+
TrnE	tRNA-Glu	10650	10718	+
TrnT	tRNA-Thr	10718	10789	+
TrnP	tRNA-Pro	11262	11328	+
TrnQ	tRNA-Gln	11325	11394	-
TrnN	tRNA-Asn	11424	11494	+
TrnL	tRNA-Leu	11496	11569	+
TrnA	tRNA-Ala	11575	11640	+
TrnW	tRNA-Trp	11642	11710	+
TrnC	tRNA-Cys	11711	11776	+
TrnV	tRNA-Val	11909	11980	-
TrnM	tRNA-Met	11992	12059	+
TrnD	tRNA-Asp	12125	12192	-
TrnY	tRNA-Tyr	12204	12271	+
TrnG	tRNA-Gly	12811	12879	+
TrnL	tRNA-Leu	13000	13070	+
ND1	NADH dehydrogenase subunit 1	13071	14042	+
TrnI	tRNA-Ile	14051	14120	+
ND2	NADH dehydrogenase subunit 2	14120	15163	+
lrRNA	16S ribosomal RNA	15164	16727	+
