Gene	Product	Start	Stop	Strand
COX1	cytochrome c oxidase subunit I	1	1537	+
TrnL	tRNA-Leu	1538	1602	+
COX2	cytochrome c oxidase subunit II	1603	2290	+
TrnK	tRNA-Lys	2291	2358	+
TrnD	tRNA-Asp	2359	2423	+
ATP8	ATP synthase F0 subunit 8	2424	2582	+
ATP6	ATP synthase F0 subunit 6	2576	3249	+
COX3	cytochrome c oxidase subunit III	3250	4041	+
TrnG	tRNA-Gly	4044	4108	+
ND3	NADH dehydrogenase subunit 3	4109	4460	+
TrnA	tRNA-Ala	4461	4525	+
TrnR	tRNA-Arg	4527	4592	+
TrnN	tRNA-Asn	4593	4659	+
TrnS	tRNA-Ser	4660	4727	+
TrnE	tRNA-Glu	4727	4792	+
TrnF	tRNA-Phe	4834	4900	-
ND5	NADH dehydrogenase subunit 5	4901	6626	-
TrnH	tRNA-His	6630	6694	-
ND4	NADH dehydrogenase subunit 4	6695	8034	-
ND4L	NADH dehydrogenase subunit 4L	8028	8330	-
TrnT	tRNA-Thr	8333	8398	+
TrnP	tRNA-Pro	8399	8463	-
ND6	NADH dehydrogenase subunit 6	8466	8984	+
CYTB	cytochrome b	8984	10118	+
TrnS	tRNA-Ser	10119	10188	+
ND1	NADH dehydrogenase subunit 1	10221	11159	-
TrnL	tRNA-Leu	11198	11263	-
lrRNA	l-rRNA	11264	12603	-
TrnV	tRNA-Val	12604	12676	-
srRNA	s-rRNA	12677	13519	-
TrnI	tRNA-Ile	15008	15071	+
TrnQ	tRNA-Gln	15073	15141	-
TrnM	tRNA-Met	15140	15210	+
ND2	NADH dehydrogenase subunit 2	15211	16210	+
TrnW	tRNA-Trp	16211	16277	+
TrnC	tRNA-Cys	16304	16370	-
TrnY	tRNA-Tyr	16370	16432	-
