Gene	Product	Start	Stop	Strand
COX1	cytochrome c oxidase subunit I	1	1533	+
COX2	cytochrome c oxidase subunit II	1539	2230	+
TrnP	tRNA-Pro	2231	2296	+
TrnD	tRNA-Asp	2297	2359	+
ATP8	ATP synthase F0 subunit 8	2360	2530	+
TrnT	tRNA-Thr	2532	2595	+
ND4L	NADH dehydrogenase subunit 4L	2596	2889	+
ND4	NADH dehydrogenase subunit 4	2883	4229	+
TrnM	tRNA-Met	4232	4297	+
TrnN	tRNA-Asn	4304	4366	+
TrnG	tRNA-Gly	4368	4430	+
ND2	NADH dehydrogenase subunit 2	4432	5436	+
TrnY	tRNA-Tyr	5435	5498	+
TrnL	tRNA-Leu	5500	5565	+
TrnA	tRNA-Ala	5570	5633	+
TrnS	tRNA-Ser	5634	5700	+
TrnL	tRNA-Leu	5705	5768	+
ND1	NADH dehydrogenase subunit 1	5770	6706	+
TrnI	tRNA-Ile	6707	6773	+
TrnK	tRNA-Lys	6774	6838	+
ND3	NADH dehydrogenase subunit 3	6839	7195	+
srRNA	s-rRNA	7196	8098	+
lrRNA	l-rRNA	8099	9364	+
TrnV	tRNA-Val	9365	9427	+
TrnS	tRNA-Ser	9428	9494	+
COX3	cytochrome c oxidase subunit III	9538	10317	+
TrnQ	tRNA-Gln	10601	10668	+
ND6	NADH dehydrogenase subunit 6	10669	11136	+
CYTB	cytochrome b	11138	12268	+
TrnW	tRNA-Trp	12267	12329	+
ATP6	ATP synthase F0 subunit 6	12330	13073	+
TrnR	tRNA-Arg	13075	13137	+
TrnH	tRNA-His	13138	13201	+
ND5	NADH dehydrogenase subunit 5	13202	14906	+
TrnF	tRNA-Phe	14907	14973	+
TrnC	tRNA-Cys	14975	15039	+
TrnE	tRNA-Glu	15042	15107	+
