Gene	Product	Start	Stop	Strand
ND5	NADH dehydrogenase subunit 5	2181	3981	+
TrnT	tRNA-Thr	4008	4079	+
TrnP	tRNA-Pro	4079	4147	-
TrnL	tRNA-Leu	4163	4234	+
TrnF	tRNA-Phe	4273	4340	+
srRNA	12S ribosomal RNA	4341	5273	+
TrnV	tRNA-Val	5274	5345	+
lrRNA	16S ribosomal RNA	5346	6932	+
TrnL	tRNA-Leu	6934	7006	+
ND1	NADH dehydrogenase subunit 1	7007	7964	+
TrnI	tRNA-Ile	7965	8035	+
TrnQ	tRNA-Gln	8036	8106	-
TrnM	tRNA-Met	8106	8176	+
TrnM	tRNA-Met	8180	8248	+
ND2	NADH dehydrogenase subunit 2	8249	9281	+
TrnW	tRNA-Trp	9282	9350	+
TrnA	tRNA-Ala	9351	9419	-
TrnN	tRNA-Asn	9422	9494	-
TrnC	tRNA-Cys	9532	9598	-
TrnY	tRNA-Tyr	9598	9664	-
COX1	cytochrome c oxidase subunit I	9669	11204	+
TrnS	tRNA-Ser	11212	11282	-
TrnD	tRNA-Asp	11283	11350	+
COX2	cytochrome c oxidase subunit II	11353	12034	+
TrnK	tRNA-Lys	12035	12102	+
ATP8	ATP synthase F0 subunit 8	12104	12265	+
ATP6	ATP synthase F0 subunit 6	12259	12940	+
COX3	cytochrome c oxidase subunit III	12941	13724	+
TrnG	tRNA-Gly	13725	13793	+
ND3	NADH dehydrogenase subunit 3	13794	14138	+
TrnR	tRNA-Arg	14143	14211	+
ND4L	NADH dehydrogenase subunit 4L	14213	14491	+
ND4	NADH dehydrogenase subunit 4	14485	15837	+
TrnH	tRNA-His	15843	15911	+
TrnS	tRNA-Ser	15912	15979	+
ND6	NADH dehydrogenase subunit 6	16014	16502	-
TrnE	tRNA-Glu	16508	16575	-
CYTB	cytochrome b	16581	17717	+
