Gene	Product	Start	Stop	Strand
ND2	NADH dehydrogenase subunit 2	26	1087	-
TrnI	tRNA-Ile	1088	1159	-
ND1	NADH dehydrogenase subunit 1	1160	2137	-
TrnL	tRNA-Leu	2138	2210	-
TrnG	tRNA-Gly	2248	2317	-
TrnY	tRNA-Tyr	2322	2393	-
TrnD	tRNA-Asp	2397	2468	+
TrnM	tRNA-Met	2470	2542	-
TrnV	tRNA-Val	2566	2627	+
TrnC	tRNA-Cys	2633	2701	-
TrnW	tRNA-Trp	2703	2771	-
TrnA	tRNA-Ala	2782	2853	+
TrnL	tRNA-Leu	2857	2930	-
TrnN	tRNA-Asn	2931	3002	-
TrnQ	tRNA-Gln	3007	3078	+
TrnP	tRNA-Pro	3080	3148	-
COX1	cytochrome c oxidase subunit I	3178	4731	+
TrnR	tRNA-Arg	4732	4801	+
ND4L	NADH dehydrogenase subunit 4L	4802	5098	+
COX2	cytochrome c oxidase subunit II	5099	5788	+
TrnK	tRNA-Lys	5793	5867	+
ATP8	ATP synthase F0 subunit 8	5871	6038	+
ATP6	ATP synthase F0 subunit 6	6029	6715	+
COX3	cytochrome c oxidase subunit III	6719	7501	+
TrnS	tRNA-Ser	7500	7570	-
ND3	NADH dehydrogenase subunit 3	7596	7946	+
ND4	NADH dehydrogenase subunit 4	7959	9341	+
TrnH	tRNA-His	9493	9561	+
TrnS	tRNA-Ser	9563	9630	+
ND5	NADH dehydrogenase subunit 5	9631	11550	+
ND6	NADH dehydrogenase subunit 6	11576	12064	-
CYTB	cytochrome b	12080	13217	+
TrnF	tRNA-Phe	13218	13289	+
srRNA	12S ribosomal RNA	13289	14183	+
TrnE	tRNA-Glu	14184	14250	+
TrnT	tRNA-Thr	14253	14322	+
lrRNA	16S ribosomal RNA	14790	16346	-
