Gene	Product	Start	Stop	Strand
TrnE	tRNA-Glu	1	65	+
TrnC	tRNA-Cys	67	134	+
TrnI	tRNA-Ile	135	201	+
TrnQ	tRNA-Gln	217	283	+
TrnD	tRNA-Asp	289	353	+
lrRNA	l-rRNA	354	1597	+
TrnY	tRNA-Tyr	2756	2822	+
CYTB	cytochrome b	2824	4017	+
COX2	cytochrome c oxidase subunit II	4133	4861	+
TrnK	tRNA-Lys	4865	4933	+
TrnM	tRNA-Met	4937	5005	+
TrnL	tRNA-Leu	5009	5074	+
TrnL	tRNA-Leu	5078	5143	+
ND1	NADH dehydrogenase subunit 1	5306	6221	+
TrnV	tRNA-Val	6223	6288	+
ND4	NADH dehydrogenase subunit 4	6289	7596	+
COX3	cytochrome c oxidase subunit III	7600	8392	+
TrnS	tRNA-Ser	8551	8613	+
TrnM	tRNA-Met	8615	8679	+
ND2	NADH dehydrogenase subunit 2	8683	9627	+
TrnR	tRNA-Arg	9631	9695	+
TrnW	tRNA-Trp	9699	9766	+
TrnA	tRNA-Ala	9768	9831	+
TrnS	tRNA-Ser	9836	9901	+
TrnH	tRNA-His	9904	9967	+
TrnP	tRNA-Pro	9969	10033	+
ND3	NADH dehydrogenase subunit 3	10036	10386	+
COX1	cytochrome c oxidase subunit I	10671	12326	+
ATP6	ATP synthase F0 subunit 6	12336	13052	+
TrnT	tRNA-Thr	13057	13119	+
ND4L	NADH dehydrogenase subunit 4L	13120	13401	+
ND5	NADH dehydrogenase subunit 5	13412	15118	+
ND6	NADH dehydrogenase subunit 6	15118	15594	+
TrnF	tRNA-Phe	15597	15664	+
srRNA	s-rRNA	15665	16609	+
TrnG	tRNA-Gly	16610	16675	+
TrnN	tRNA-Asn	16676	16740	+
